category_one	category_two	category_three	assigned	summary	num_services
산업중소기업	무역및투자유치	무역 	10659431000	39810905000	30
공공질서및안전	재난방재및민방위	민방위 	144251074000	749872120000	95
일반공공행정	일반행정	일반행정지원 	2177040728000	9746145671000	556
수송및교통	도로	도로관리 	905734483000	3393705991000	429
지역개발	수자원	하천 	284479000000	998460628000	125
사회복지	취약계층지원	장애인생활안정지원 	2767925489000	13818841982000	173
지역개발	산업단지	산업단지개발 	2408642000	58536294000	8
산업중소기업	산업진흥고도화	산업진흥 	444750077000	876632476000	73
사회복지	노인청소년	노인생활안정 	1321246523000	7487278010000	153
문화체육관광	문화예술	지역문화예술진흥 	193895057000	948125773000	278
지역개발	지역및도시	건설건축 	1791467893000	8336708530000	463
문화체육관광	관광	관광정책 	45702301000	217762073000	59
환경보호	대기	대기보전 	424979177000	1980686532000	84
산업중소기업	산업중소기업일반	지역경제 	23057306000	119061881000	27
환경보호	상하수도및수질	상수도 	1792391189000	7678641013000	538
보건	보건의료	지역보건 	304328708000	1489925621000	203
수송및교통	물류등기타	교통관리 	2360665671000	12875323715000	227
농림해양수산	농업농촌	농림진흥 	99370780000	310725332000	54
보건	식품의약안전	식품안전 	16891233000	26091029000	46
문화체육관광	체육	체육정책 	185890232000	669013324000	92
사회복지	주택	임대주택정책 	1119082666000	5594354856000	59
환경보호	환경보호일반	도시환경 	84000055000	405657273000	74
사회복지	보육가족및여성	가족기능강화 	1826968766000	8441502843000	136
환경보호	폐기물	폐기물관리일반 	170999787000	748749493000	66
교육	고등교육	대학관리일반 	42642083000	219791640000	20
교육	평생직업교육	평생직업교육기반 	6516233000	28836563000	15
환경보호	자연	생태계 	41349451000	187044716000	45
사회복지	사회복지일반	사회복지기반조성 	32586950000	175494800000	10
문화체육관광	문화재	문화재보존정책 	84482055000	399921289000	111
사회복지	노동	고용정책 	100333085000	479787531000	35
교육	유아및초중등교육	유아교육 	2576146175000	13205298447000	34
일반공공행정	재정금융	지방세운용 	763078375000	2725810690000	28
일반공공행정	일반행정	선거관리 	19306642000	111885836000	41
수송및교통	도시철도	도시철도건설 	664419541000	3802490280000	19
일반공공행정	재정금융	지방세외운용 	3198913193000	16433546860000	4
산업중소기업	산업금융지원	산업및중소기업금융지원 	403809625000	0	4
일반공공행정	재정금융	지방세정책기획 	1980238000	6958823000	1
공공질서및안전	경찰	자치경찰일반관리 	1171401000	5660365000	2
